Line Name,End 1 Bus Name,End 2 Bus Name,In Service,Resistance (pu),Reactance (pu),Susceptance (pu),Actual Capacity (MW),Maximum Angle Limit (degree),B,Nature of Line,,,,Thermal Limit (MVA),Angle Limit,Anlge Limiting,Thermal Limit,,,,,,,,
L1,N_4220,N_4232,1,0.001930164,0.024192554,0.367691879,1000,35,-41.33503303,AC,,2,2,1000,2164.297268, ,1000,1,,,,,,,
L2,N_4220,N_4232,1,0.001930164,0.024192554,0.367691879,1000,35,-41.33503303,AC,,2,2,1000,2164.297268, ,1000,1,,,,,,,
L3,N_4220,N_4221,1,0.000996284,0.012487356,0.189789775,1000,35,-80.08100509,AC,,2,2,1000,4193.031621, ,1000,1,,,,,,,
L4,N_4220,N_4221,1,0.000996284,0.012487356,0.189789775,1000,35,-80.08100509,AC,,2,2,1000,4193.031621, ,1000,1,,,,,,,
L5,N_4333,N_4331,1,0.004653802,0.050526989,0.372304129,900,35,-19.79140297,AC,,3,3,900,1036.275436, ,900,1,,,,,,,
L6,N_4333,N_4330,1,0.00380281,0.041287649,0.304224781,900,35,-24.22031841,AC,,3,3,900,1268.172906, ,900,1,,,,,,,
L7,N_4333,N_4330,1,0.00380281,0.041287649,0.304224781,900,35,-24.22031841,AC,,3,3,900,1268.172906, ,900,1,,,,,,,
L8,N_4333,N_4311,1,0.007570259,0.060562075,0.227107781,900,35,-16.51198381,AC,,3,3,900,864.5654507,Swap,864.5654507,0,,,,,,,
L9,N_4350,N_4354,1,0.006963786,0.055710289,0.208913585,900,35,-17.95000553,AC,,3,3,900,939.8600919, ,900,1,,,,,,,
L10,N_4350,N_4354,1,0.006963786,0.055710289,0.208913585,900,35,-17.95000553,AC,,3,3,900,939.8600919, ,900,1,,,,,,,
L11,N_4350,N_4354,1,0.006963786,0.055710289,0.208913585,900,35,-17.95000553,AC,,3,3,900,939.8600919, ,900,1,,,,,,,
L12,N_4350,N_4351,1,0.006343134,0.050745072,0.190294021,900,35,-19.70634698,AC,,3,3,900,1031.821915, ,900,1,,,,,,,
L13,N_4354,N_4370,1,0.000634407,0.006887848,0.050752565,900,35,-145.1832258,AC,,3,3,900,7601.775929, ,900,1,,,,,,,
L14,N_4354,N_4370,1,0.000634407,0.006887848,0.050752565,900,35,-145.1832258,AC,,3,3,900,7601.775929, ,900,1,,,,,,,
L15,N_4354,N_4372,1,0.004760106,0.051681151,0.380808483,900,35,-19.34941413,AC,,3,3,900,1013.132955, ,900,1,,,,,,,
L16,N_4354,N_4372,1,0.004760106,0.051681151,0.380808483,900,35,-19.34941413,AC,,3,3,900,1013.132955, ,900,1,,,,,,,
L17,N_4331,N_4337,1,0.009858917,0.067785879,0.437829087,900,35,-14.75233501,AC,,3,3,900,772.4304547,Swap,772.4304547,0,,,,,,,
L18,N_4331,N_4336,1,0.004786647,0.032911023,0.212572343,900,35,-30.38495634,AC,,3,3,900,1590.952594, ,900,1,,,,,,,
L19,N_4331,N_4330,1,0.001322467,0.014358211,0.105797344,900,35,-69.64656013,AC,,3,3,900,3646.685361, ,900,1,,,,,,,
L20,N_4331,N_4309,1,0.002661599,0.021292793,0.079847975,900,35,-46.96424699,AC,,3,3,900,2459.042222, ,900,1,,,,,,,
L21,N_4331,N_4308,1,0.001343619,0.014587865,0.107489529,900,35,-68.55012904,AC,,3,3,900,3589.276363, ,900,1,,,,,,,
L22,N_4370,N_4352,1,0.006515854,0.052126836,0.195475635,900,35,-19.18397659,AC,,3,3,900,1004.470666, ,900,1,,,,,,,
L23,N_4370,N_4373,1,0.020811928,0.166495421,0.624357829,900,35,-6.00617118,AC,,3,3,900,314.4823876,Swap,314.4823876,0,,,,,,,
L24,N_4370,N_4372,1,0.010088387,0.080707092,0.302651597,900,35,-12.39048478,AC,,3,3,900,648.7642659,Swap,648.7642659,0,,,,,,,
L25,N_4221,N_4211,1,0.002048131,0.025671142,0.390164288,900,35,-38.95424676,AC,,2,2,900,2039.639591, ,900,1,,,,,,,
L26,N_4221,N_4211,1,0.002048131,0.025671142,0.390164288,900,35,-38.95424676,AC,,2,2,900,2039.639591, ,900,1,,,,,,,
L27,N_4311,N_4302,1,0.003704493,0.040220214,0.296359469,900,35,-24.86312001,AC,,3,3,900,1301.829919, ,900,1,,,,,,,
L28,N_4311,N_4302,1,0.003704493,0.040220214,0.296359469,900,35,-24.86312001,AC,,3,3,900,1301.829919, ,900,1,,,,,,,
L29,N_4308,N_4303,1,0.002638823,0.021110581,0.079164678,900,35,-47.36961094,AC,,3,3,900,2480.267029, ,900,1,,,,,,,
