Bus Name,Bus Region,Bus Type,Demand Trace Weightage (%),Power Factor,Prosumer Demand (%),Rooftop PV Capacity (MW),Feedin Price Ratio,Maximum Battery Capacity (MWh),Minimum Battery Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Battery Efficiency (%),Base_kV,Node Zone,Demand Trace Weightage,Demand Trace Name,Wind Trace Name,PV Trace Name,CST Trace Name,Rooftop PV Trace
N_4306,QLD,0,1.908686932,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4303,QLD,0,11.64193576,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4307,QLD,0,0.959616082,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4308,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4370,QLD,0,2.109046333,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4232,QLD,0,0,0.9,0,0,0,0,0,0,0,0,330,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4332,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4372,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4220,QLD,0,0,0.9,0,0,0,0,0,0,0,0,330,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4350,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4376,QLD,0,0.906889923,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4339,QLD,0,1.613420445,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4352,QLD,0,1.20215641,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4310,QLD,0,1.413061043,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4302,QLD,0,4.987894578,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4334,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4304,QLD,0,4.4289973,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4353,QLD,0,0.453444962,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4371,QLD,0,5.50461093,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4330,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4211,QLD,0,0,0.9,0,0,0,0,0,0,0,0,330,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4311,QLD,0,4.427905876,0.9,0,0,0,0,0,0,0,0,275,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4221,QLD,0,0,0.9,0,0,0,0,0,0,0,0,330,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4301,QLD,0,3.7962834,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4373,QLD,0,6.26386761,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4336,QLD,0,3.943916643,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4355,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4309,QLD,0,3.965007107,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4375,QLD,0,4.93516842,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4305,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4331,QLD,0,12.82300171,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4354,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4374,QLD,0,1.01234224,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4333,QLD,0,0.674894827,0.9,0,0,0,0,0,0,0,0,275,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4338,QLD,0,1.275973032,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4335,QLD,0,0,0.9,0,0,0,0,0,0,0,0,275,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4337,QLD,0,2.161772492,0.9,0,0,0,0,0,0,0,0,275,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4377,QLD,0,3.153024268,0.9,0,0,0,0,0,0,0,0,275,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4351,QLD,0,9.910075056,0.9,0,0,0,0,0,0,0,0,275,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4932,QLD,0,0.430139428,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4942,QLD,0,0.269891406,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4950,QLD,0,0.35423247,0.9,0,0,0,0,0,0,0,0,20,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4952,QLD,0,0.47230996,0.9,0,0,0,0,0,0,0,0,20,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4930,QLD,0,0.210852661,0.9,0,0,0,0,0,0,0,0,20,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4911,QLD,0,0.126511596,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4921,QLD,0,0.35423247,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4975,QLD,0,0.286759619,0.9,0,0,0,0,0,0,0,0,20,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4976,QLD,0,0.071689905,0.9,0,0,0,0,0,0,0,0,20,NQ,#REF!,QLD,NQ,NQ,NQ,NQ
N_4905,QLD,0,0.162356549,0.9,0,0,0,0,0,0,0,0,20,SEQ,#REF!,QLD,SEQ,SEQ,SEQ,SEQ
N_4954,QLD,0,0.59038745,0.9,0,0,0,0,0,0,0,0,20,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_4933,QLD,0,0.59038745,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4934,QLD,0,0.193984448,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4935,QLD,0,0.084341064,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4936,QLD,0,0.328930151,0.9,0,0,0,0,0,0,0,0,20,SWQ,#REF!,QLD,SWQ,SWQ,SWQ,SWQ
N_4953,QLD,0,0,0.9,0,0,0,0,0,0,0,0,20,CQ,#REF!,QLD,CQ,CQ,CQ,CQ
N_2291,NSW,0,0.771294193,0.9,0,0,0,0,0,0,0,0,330,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2224,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2116,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2216,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2185,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2285,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2238,NSW,0,2.932524798,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2403,NSW,0,0.305303952,0.9,0,0,0,0,0,0,0,0,220,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2402,NSW,0,0,0.9,0,0,0,0,0,0,0,0,220,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2210,NSW,0,5.232990852,0.9,0,0,0,0,0,0,0,0,330,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2211,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2297,NSW,0,1.389936411,0.9,0,0,0,0,0,0,0,0,330,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2225,NSW,0,4.563490644,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2215,NSW,0,1.677065651,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2415,NSW,0,0,0.9,0,0,0,0,0,0,0,0,220,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2261,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2170,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2270,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2233,NSW,0,1.140872661,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2212,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
