Generator Name,Location Bus,Number of Units,Connected to Grid,Apparent Power Rating (MVA),Fix Cost ($),Start up Cost ($),Shut down Cost ($),Variable Cost ($/MW),Maximum Real Power (MW),Minimum Real Power (MW),Maximum Reactive Power (MVar),Minimum Reactive Power (MVar),Ramp Up Rate (MW/h),Ramp Down Rate (MW/h),MUT (hour),MDT (hour),Generation Type,Generation Tech,Plot Color,Resource Collector Rating (MW),Maximum Energy Storage Capacity (MWh),Minimum Energy Storage Limit (MWh),Strorage Efficiency (%),,,,
Braemar PS,N_4932,6,1,192.2222222,280,280.43,280.43379,49,173,17.3,103.8,-69.2,560,560,1,1,1,OCGT,Pink,,,,,173,0.1,560,560
Callide PS,N_4950,4,1,508.3333333,2820,11280.82,11280.82192,13,457.5,224.175,274.5,-183,411.75,411.75,8,8,1,BlCT,Grey,,,,,457.5,0.49,320.25,320.25
Condamine A PS,N_4935,3,1,160,164,493.15,493.1506849,8,144,43.2,86.4,-57.6,180,180,4,4,1,CCGT,Violet,,,,,144,0.3,180,180
Darling Downs PS,N_4942,4,1,178.8888889,184,551.37,551.369863,26,161,48.3,96.6,-64.4,380,380,4,4,1,CCGT,Violet,,,,,161,0.3,380,380
Gladstone PS,N_4952,6,1,317,1844.7,7378.77,7378.767123,16,285,111.15,171,-114,256.5,256.5,8,8,1,BlCT,Grey,,,,,285,0.39,199.5,199.5
Kogan Creek PS,N_4936,1,1,868,4662.8,18651.28,18651.27854,8,781,367.07,468.6,-312.4,702.9,702.9,8,8,1,BlCT,Grey,,,,,781,0.47,546.7,546.7
Millmerran PS,N_4921,2,1,500,2732.9,10931.51,10931.50685,9,450,180,270,-180,405,405,8,8,1,BlCT,Grey,,,,,450,0.4,315,315
Mt Stuart PS,N_4975,3,1,164.0740741,239,239.37,239.3683409,358,147.6666667,14.76666667,88.6,-59.06666667,600,600,1,1,1,OCGT,Pink,,,,,147.6666667,0.1,600,600
Oakey PS,N_4911,2,1,192,280.4,280.43,280.43379,80,173,17.3,103.8,-69.2,660,660,1,1,1,OCGT,Pink,,,,,173,0.1,660,660
Stanwell PS,N_4954,4,1,427.7777778,2347,9387.67,9387.671233,14,385,192.5,231,-154,346.5,346.5,8,8,1,BlCT,Grey,,,,,385,0.5,269.5,269.5
Swanbank E PS,N_4905,1,1,428,439.5,1318.49,1318.493151,35,385,115.5,231,-154,640,640,4,4,1,CCGT,Violet,,,,,385,0.3,640,640
Tarong North PS,N_4934,1,1,533.3333333,2866,11463.01,11463.0137,10,480,192,288,-192,432,432,8,8,1,BlCT,Grey,,,,,480,0.4,336,336
Tarong PS,N_4933,4,1,427.7777778,2373,9493.15,9493.150685,10,385,154,231,-154,346.5,346.5,8,8,1,BlCT,Grey,,,,,385,0.4,269.5,269.5
Townsville (Yabulu) PS,N_4976,2,1,143.3333333,147,441.78,441.7808219,47,129,12.9,77.4,-51.6,340,340,4,4,1,OCGT,Pink,,,,,129,0.1,340,340
Wivenhoe PS,N_4930,2,1,346.6666667,2019,4038.90,4038.90411,16,312,62.4,187.2,-124.8,7200,7200,1,1,1,HYDR,Blue,,,,,312,0.2,7200,7200
Yarwun PS,N_4953,1,1,200,205,616.44,616.4383562,36,180,18,108,-72,600,600,4,4,1,CoGen,Orange,,,,,180,0.1,600,600
Bayswater Power Station,N_2984,4,1,777.7777778,4267.123288,17068.49315,17068.49315,12.97,700,308,420,-280,630,630,8,8,1,BlCT,Grey,,,,,700,0.44,490,490
Boco Rock Wind Farm,N_2952,1,1,125.5555556,554.6803653,1109.360731,1109.360731,0,113,11.3,67.8,-45.2,630,620,1,1,2,WND,Green,,,,,113,0.1,630,620
Capital-Woodlawn WF,N_2902,2,1,104.4444444,461.4155251,0,0,0,94,9.4,56.4,-37.6,900,180,1,1,2,WND,Green,,,,,94,0.1,900,180
Colongra Power Station,N_2962,4,1,201.1111111,293.4018265,293.4018265,293.4018265,90.26,181,18.1,108.6,-72.4,720,720,1,1,1,OCGT,Pink,,,,,181,0.1,720,720
Eraring Power Station,N_2970,4,1,833.3333333,4571.917808,18287.67123,18287.67123,16.78,750,240,450,-300,675,675,8,8,1,BlCT,Grey,,,,,750,0.32,525,525
GullenRange-Gunning-Cullering-Taralga WF,N_2904,4,1,98.61111111,435.6449772,0,0,0,88.75,8.875,53.25,-35.5,2816.666667,2813.333333,1,1,2,WND,Green,,,,,88.75,0.1,2816.666667,2813.333333
Hunter Valley GT,N_2985,2,1,27.77777778,40.52511416,40.52511416,40.52511416,383.47,25,2.5,15,-10,60,60,1,1,1,OCGT,Pink,,,,,25,0.1,60,60
Liddell Power Station,N_2986,4,1,611.1111111,3559.931507,14239.72603,14239.72603,13.86,550,242,330,-220,495,495,8,8,1,BlCT,Grey,,,,,550,0.44,385,385
Mt Piper Power Station,N_2953,2,1,777.7777778,4267.123288,17068.49315,17068.49315,13.03,700,294,420,-280,630,630,8,8,1,BlCT,Grey,,,,,700,0.42,490,490
Murray Power Statio,N_2901,14,1,125,728.1678082,2184.503425,2184.503425,16,112.5,22.5,67.5,-45,12000,2530,1,1,1,HYDR,Blue,,,,,112.5,0.2,12000,2530
Shoalhaven Power Station,N_2919,4,1,66.66666667,388.3561644,776.7123288,776.7123288,16,60,12,36,-24,600,600,1,1,1,HYDR,Blue,,,,,60,0.2,600,600
Smithfield Energy Facility,N_2971,4,1,48.88888889,50.2283105,150.6849315,150.6849315,52.46,44,4.4,26.4,-17.6,70,180,4,4,1,CoGen,Purple,,,,,44,0.1,70,180
Tallawarra Power Station,N_2925,1,1,488.8888889,502.283105,1506.849315,1506.849315,27.2,440,132,264,-176,360,360,4,4,1,CCGT,Purple,,,,,440,0.3,360,360
Tumut 3 Power Station,N_2905,8,1,333.3333333,1941.780822,3883.561644,3883.561644,16,300,60,180,-120,12000,2120,1,1,1,HYDR,Blue,,,,,15,0.2,12000,2120
Tumut Power Station,N_2903,8,1,92.36111111,538.0351027,1076.070205,1076.070205,16,83.125,16.625,49.875,-33.25,7790,1800,1,1,1,HYDR,Blue,,,,,83.125,0.2,7790,1800
