Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L1,N_4220,N_4232,0.001930164,0.024192554,0.367691879,1000,-41.33503303,AC,,2,2,1000
L2,N_4220,N_4232,0.001930164,0.024192554,0.367691879,1000,-41.33503303,AC,,2,2,1000
L3,N_4220,N_4221,0.000996284,0.012487356,0.189789775,1000,-80.08100509,AC,,2,2,1000
L4,N_4220,N_4221,0.000996284,0.012487356,0.189789775,1000,-80.08100509,AC,,2,2,1000
L5,N_4333,N_4331,0.004653802,0.050526989,0.372304129,900,-19.79140297,AC,,3,3,800
L6,N_4333,N_4330,0.00380281,0.041287649,0.304224781,900,-24.22031841,AC,,3,3,800
L7,N_4333,N_4330,0.00380281,0.041287649,0.304224781,900,-24.22031841,AC,,3,3,800
L8,N_4333,N_4311,0.007570259,0.060562075,0.227107781,900,-16.51198381,AC,,3,3,800
L9,N_4350,N_4354,0.006963786,0.055710289,0.208913585,900,-17.95000553,AC,,3,3,800
L10,N_4350,N_4354,0.006963786,0.055710289,0.208913585,900,-17.95000553,AC,,3,3,800
L11,N_4350,N_4354,0.006963786,0.055710289,0.208913585,900,-17.95000553,AC,,3,3,800
L12,N_4350,N_4351,0.006343134,0.050745072,0.190294021,900,-19.70634698,AC,,3,3,800
L13,N_4354,N_4370,0.000634407,0.006887848,0.050752565,900,-145.1832258,AC,,3,3,800
L14,N_4354,N_4370,0.000634407,0.006887848,0.050752565,900,-145.1832258,AC,,3,3,800
L15,N_4354,N_4372,0.004760106,0.051681151,0.380808483,900,-19.34941413,AC,,3,3,800
L16,N_4354,N_4372,0.004760106,0.051681151,0.380808483,900,-19.34941413,AC,,3,3,800
L17,N_4331,N_4337,0.009858917,0.067785879,0.437829087,900,-14.75233501,AC,,3,3,800
L18,N_4331,N_4336,0.004786647,0.032911023,0.212572343,900,-30.38495634,AC,,3,3,800
L19,N_4331,N_4330,0.001322467,0.014358211,0.105797344,900,-69.64656013,AC,,3,3,800
L20,N_4331,N_4309,0.002661599,0.021292793,0.079847975,900,-46.96424699,AC,,3,3,800
L21,N_4331,N_4308,0.001343619,0.014587865,0.107489529,900,-68.55012904,AC,,3,3,800
L22,N_4370,N_4352,0.006515854,0.052126836,0.195475635,900,-19.18397659,AC,,3,3,800
L23,N_4370,N_4373,0.020811928,0.166495421,0.624357829,900,-6.00617118,AC,,3,3,800
L24,N_4370,N_4372,0.010088387,0.080707092,0.302651597,900,-12.39048478,AC,,3,3,800
L25,N_4221,N_4211,0.002048131,0.025671142,0.390164288,900,-38.95424676,AC,,2,2,1000
L26,N_4221,N_4211,0.002048131,0.025671142,0.390164288,900,-38.95424676,AC,,2,2,1000
L27,N_4311,N_4302,0.003704493,0.040220214,0.296359469,900,-24.86312001,AC,,3,3,800
L28,N_4311,N_4302,0.003704493,0.040220214,0.296359469,900,-24.86312001,AC,,3,3,800
L29,N_4308,N_4303,0.002638823,0.021110581,0.079164678,900,-47.36961094,AC,,3,3,800
L30,N_4308,N_4330,0.000905464,0.00983075,0.072437109,900,-101.7216336,AC,,3,3,800
