SVC Name,Bus,Bus Name,Connected to Grid,Maximum Real Power (MW),Minimum Real Power (MW),Maximum Reactive Power (MVar),Minimum Reactive Power (MVar),Fix Cost ($),Start up Cost ($),Shut down Cost ($),Variable Cost ($/MW)
Abermain,ABRN_275,N_4306,1,0,0,200,-200,0,0,0,0
Belmont,BLMT_275,N_4303,1,0,0,800,-200,0,0,0,0
Blackwall,BLWL_275,N_4308,1,0,0,800,-200,0,0,0,0
Braemar,BRMR_275,N_4332,1,0,0,300,-200,0,0,0,0
Broadsound,BRSD_275,N_4372,1,0,0,200,-200,0,0,0,0
Bulli Ck,BLCK_330,N_4220,1,0,0,200,-264,0,0,0,0
Callide,CLDE_275,N_4350,1,0,0,200,-200,0,0,0,0
Chalumbin,CHBN_275,N_4376,1,0,0,200,-200,0,0,0,0
GinGin,GGIN_275,N_4339,1,0,0,340,-200,0,0,0,0
Goodna,GDNA_275,N_4310,1,0,0,200,-200,0,0,0,0
Greenbank,GBNK_275,N_4302,1,0,0,1190,-200,0,0,0,0
Lilyvale,LVLE_275,N_4371,1,0,0,200,-200,0,0,0,0
Mount England,MENG_275,N_4330,1,0,0,480,-200,0,0,0,0
Middle Ridge_1,MRDG_330,N_4211,1,0,0,200,-480,0,0,0,0
Middle Ridge_2,MRDG_275,N_4311,1,0,0,200,-200,0,0,0,0
Millmerran,MMRN_330,N_4221,1,0,0,400,-200,0,0,0,0
Mudgeeraba,MGBA_275,N_4301,1,0,0,300,-200,0,0,0,0
Nebo,NEBO_275,N_4373,1,0,0,800,-468,0,0,0,0
Palmwoods,PLMS_275,N_4336,1,0,0,640,-200,0,0,0,0
Rocklea,RLEA_275,N_4309,1,0,0,300,-200,0,0,0,0
Ross,ROSS_275,N_4375,1,0,0,440,-376,0,0,0,0
South Pine,SPNE_275,N_4331,1,0,0,980,-200,0,0,0,0
Strathmore,SMRE_275,N_4374,1,0,0,520,-200,0,0,0,0
Tarong,TRNG_275,N_4333,1,0,0,400,-200,0,0,0,0
Woolooga,WLGA_275,N_4337,1,0,0,800,-200,0,0,0,0
Woree,WREE_275,N_4377,1,0,0,700,-200,0,0,0,0
Wurdong,WDNG_275,N_4351,1,0,0,720,-200,0,0,0,0
Armidale ,ARML_330,N_2291,1,0,0,800,-560,0,0,0,0
Beaconsfield,BFLD_330,N_2238,1,0,0,200,-400,0,0,0,0
Broken Hill ,BHILL_220,N_2403,1,0,0,200,-200,0,0,0,0
Buronga,BRNG_220,N_2402,1,0,0,200,-200,0,0,0,0
Canberra,CNBR_330,N_2210,1,0,0,560,-200,0,0,0,0
Dapto,DPTO_330,N_2225,1,0,0,480,-200,0,0,0,0
Darlington Pt 330,DARL_330,N_2215,1,0,0,200,-200,0,0,0,0
Darlington Pt 220,DARL_220,N_2415,1,0,0,200,-200,0,0,0,0
Dumaresq,DMRQ_330,N_2261,1,0,0,200,-240,0,0,0,0
Eraring 500,ERNG_500,N_2170,1,0,0,200,-274,0,0,0,0
Haymarket,HYMT_330,N_2260,1,0,0,200,-200,0,0,0,0
Holroyd,HLRD_330,N_2250,1,0,0,200,-200,0,0,0,0
Kemps Ck 330,KPCK_330,N_2227,1,0,0,800,-800,0,0,0,0
Lismore,LISM_330,N_2293,1,0,0,420,-400,0,0,0,0
Muswellbrook,MUSW_330,N_2289,1,0,0,200,-200,0,0,0,0
Newcastle,NCST_330,N_2274,1,0,0,800,-200,0,0,0,0
Regentville,RGTV_330,N_2259,1,0,0,320,-200,0,0,0,0
Sydney East,SYDE_330,N_2242,1,0,0,800,-200,0,0,0,0
Sydney North,SYDN_330,N_2243,1,0,0,800,-200,0,0,0,0
Sydney South,SYDS_330,N_2231,1,0,0,400,-800,0,0,0,0
Sydney West,SYDW_330,N_2237,1,0,0,1240,-200,0,0,0,0
Tamworth ,TMWT_330,N_2290,1,0,0,240,-200,0,0,0,0
Tuggerah ,TGRH_330,N_2248,1,0,0,200,-200,0,0,0,0
Bendigo,BEND_220,N_3411,1,0.0,0,200,-200,0,0,0,0
Brunswick,BRUN_220,N_3428,1,0.0,0,200,-200,0,0,0,0
Horsham,HRSH_220,N_3410,1,0.0,0,200,-200,0,0,0,0
Kerang,KRNG_220,N_3407,1,0.0,0,200,-200,0,0,0,0
Moorabool,MRBL_220,N_3412,1,0.0,0,640,-200,0,0,0,0
Richmond,RCMD_220,N_3426,1,0.0,0,200,-200,0,0,0,0
Ringwood,RNGD_220,N_3427,1,0.0,0,380,-200,0,0,0,0
Rowville,RWVL_220,N_3416,1,0.0,0,400,-240,0,0,0,0
Shepparton,SHEP_220,N_3405,1,0.0,0,220,-200,0,0,0,0
Thomastown,THMT_220,N_3424,1,0.0,0,200,-200,0,0,0,0
Cherry Gardens,CHGN_275,N_5304,1,0.0,0,240,-200,0,0,0,0
